sitesample,treatment,date,time,DOC
Soddie 1,Treatement,7/10/19,10:00,1.44
Soddie 2,Treatement,7/10/19,10:00,1.72
Soddie 4,Control,7/10/19,10:00,1.93
Soddie 5,Treatement,7/10/19,10:00,1.99
Soddie 6,Control,7/10/19,10:00,1.60
Soddie 7,Control,7/10/19,10:00,1.63
Soddie 8,Control,7/10/19,10:00,1.88
Soddie 1,Treatement,7/24/19,9:00,3.57
Soddie 2,Treatement,7/24/19,9:00,3.50
Soddie 3,Treatement,7/24/19,9:00,3.98
Soddie 4,Control,7/24/19,9:00,3.28
Soddie 5,Treatement,7/24/19,9:00,4.00
Soddie 6,Control,7/24/19,9:00,3.08
Soddie 7,Control,7/24/19,9:00,3.28
Soddie 8,Control,7/24/19,9:00,2.97
Soddie 1,Treatement,8/19/19,9:30,9.29
Soddie 2,Treatement,8/19/19,9:30,5.44
Soddie 3,Treatement,8/19/19,9:30,6.18
Soddie 4,Control,8/19/19,9:30,5.79
Soddie 5,Treatement,8/19/19,9:30,8.57
Soddie 6,Control,8/19/19,9:30,4.92
Soddie 7,Control,8/19/19,9:30,5.98
Soddie 8,Control,8/19/19,9:30,5.02
