Date,Time ,timestamp,Observation number ,Incubator,Treatment,Temperature,new dead,total dead,new egg loss,total eggs lost,Notes
10/23/19,11:30,10/23/19 11:30:00,0,9,1,20,0,0,0,0,Initial setup all 8 incubators
10/23/19,11:30,10/23/19 11:30:00,0,18,1,20,0,0,0,0,
10/23/19,11:30,10/23/19 11:30:00,0,26,1,20,0,0,0,0,
10/23/19,11:30,10/23/19 11:30:00,0,30,0,11,0,0,0,0,
10/23/19,11:30,10/23/19 11:30:00,0,41,1,20,0,0,0,0,
10/23/19,11:30,10/23/19 11:30:00,0,42,1,20,0,0,0,0,
10/23/19,11:30,10/23/19 11:30:00,0,44,0,11,0,0,0,0,
10/23/19,11:30,10/23/19 11:30:00,0,50,1,20,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,9,1,35,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,18,1,19.5,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,26,1,20,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,30,0,12,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,41,1,20,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,42,1,20,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,44,0,12,0,0,0,0,
10/23/19,12:30,10/23/19 12:30:00,1,50,1,25,0,0,0,0,
10/23/19,14:40,10/23/19 14:40:00,2,9,1,36.5,9,9,3,3,All dead
10/23/19,14:40,10/23/19 14:40:00,2,18,1,22,0,0,0,0,
10/23/19,14:40,10/23/19 14:40:00,2,26,1,23,0,0,0,0,
10/23/19,14:40,10/23/19 14:40:00,2,30,0,11,0,0,0,0,
10/23/19,14:40,10/23/19 14:40:00,2,41,1,24,1,1,0,0,41_F2 dead
10/23/19,14:40,10/23/19 14:40:00,2,42,1,20.5,0,0,0,0,
10/23/19,14:40,10/23/19 14:40:00,2,44,0,11,0,0,0,0,
10/23/19,14:40,10/23/19 14:40:00,2,50,1,23,0,0,0,0,
10/23/19,17:00,10/23/19 17:00:00,3,9,1,36.5,0,9,0,3,All dead still 
10/23/19,17:00,10/23/19 17:00:00,3,18,1,22,0,0,0,0,
10/23/19,17:00,10/23/19 17:00:00,3,26,1,22,0,0,0,0,
10/23/19,17:00,10/23/19 17:00:00,3,30,0,11,0,0,0,0,
10/23/19,17:00,10/23/19 17:00:00,3,41,1,20,0,1,0,0,41_F2 still dead
10/23/19,17:00,10/23/19 17:00:00,3,42,1,24,0,0,0,0,
10/23/19,17:00,10/23/19 17:00:00,3,44,0,11,0,0,0,0,
10/23/19,17:00,10/23/19 17:00:00,3,50,1,25,0,0,0,0,
10/24/19,9:00,10/24/19 09:00:00,4,9,1,36.5,0,9,0,3,
10/24/19,9:00,10/24/19 09:00:00,4,18,1,21,3,3,1,1,"18_F1, 18_F3, 18_M1"
10/24/19,9:00,10/24/19 09:00:00,4,26,1,24,3,3,0,0,"26_M1, 26_M2, and 26_F2"
10/24/19,9:00,10/24/19 09:00:00,4,30,0,11,0,0,0,0,
10/24/19,9:00,10/24/19 09:00:00,4,41,1,25,4,5,2,2,"41_F1, 41_G3, 41_M2 and 41_M3"
10/24/19,9:00,10/24/19 09:00:00,4,42,1,23,3,3,0,0,"42_F1, 42_F2 and 42_G1"
10/24/19,9:00,10/24/19 09:00:00,4,44,0,11,0,0,0,0,
10/24/19,9:00,10/24/19 09:00:00,4,50,1,22,2,2,1,1,50_M2 and 50_M3
10/24/19,11:40,10/24/19 11:40:00,5,9,1,36.5,0,9,0,3,
10/24/19,11:40,10/24/19 11:40:00,5,18,1,20,0,3,3,3,
10/24/19,11:40,10/24/19 11:40:00,5,26,1,24,1,4,1,1,26_G3
10/24/19,11:40,10/24/19 11:40:00,5,30,0,10,0,0,0,0,
10/24/19,11:40,10/24/19 11:40:00,5,41,1,23,0,5,0,2,
10/24/19,11:40,10/24/19 11:40:00,5,42,1,22,0,3,2,2,
10/24/19,11:40,10/24/19 11:40:00,5,44,0,10,0,0,0,0,
10/24/19,11:40,10/24/19 11:40:00,5,50,1,22,1,3,1,2,50_F3 looks translucent and very near death 
10/24/19,13:00,10/24/19 13:00:00,6,9,1,36.5,0,9,0,3,
10/24/19,13:00,10/24/19 13:00:00,6,18,1,22.5,0,3,0,3,
10/24/19,13:00,10/24/19 13:00:00,6,26,1,23,0,4,1,2,
10/24/19,13:00,10/24/19 13:00:00,6,30,0,10.5,0,0,0,0,
10/24/19,13:00,10/24/19 13:00:00,6,41,1,24,0,5,1,3,
10/24/19,13:00,10/24/19 13:00:00,6,42,1,23,0,3,0,2,
10/24/19,13:00,10/24/19 13:00:00,6,44,0,10.5,0,0,0,0,
10/24/19,13:00,10/24/19 13:00:00,6,50,1,24,0,3,0,2,
10/24/19,16:30,10/24/19 16:30:00,7,9,1,36.5,0,9,0,3,
10/24/19,16:30,10/24/19 16:30:00,7,18,1,20,0,3,0,3,
10/24/19,16:30,10/24/19 16:30:00,7,26,1,23,2,6,1,3,26_F3 and 26_G2
10/24/19,16:30,10/24/19 16:30:00,7,30,0,10.5,0,0,0,0,
10/24/19,16:30,10/24/19 16:30:00,7,41,1,24,1,6,0,3,41_G2
10/24/19,16:30,10/24/19 16:30:00,7,42,1,24,0,3,0,2,
10/24/19,16:30,10/24/19 16:30:00,7,44,0,10.5,0,0,0,0,
10/24/19,16:30,10/24/19 16:30:00,7,50,1,23,0,3,0,2,
10/25/19,9:00,10/25/19 09:00:00,8,9,1,36.5,0,9,0,3,
10/25/19,9:00,10/25/19 09:00:00,8,18,1,23,2,5,0,3,"18_M2, 18_M3"
10/25/19,9:00,10/25/19 09:00:00,8,26,1,23.5,1,7,0,3,26_M3 
10/25/19,9:00,10/25/19 09:00:00,8,30,0,10.5,1,1,0,0,30_M3
10/25/19,9:00,10/25/19 09:00:00,8,41,1,24,1,7,0,3,
10/25/19,9:00,10/25/19 09:00:00,8,42,1,24,1,4,0,2,
10/25/19,9:00,10/25/19 09:00:00,8,44,0,10.5,0,0,0,0,
10/25/19,9:00,10/25/19 09:00:00,8,50,1,25,2,5,0,2,50_F2 and 50_G2; F3 looking bad still
10/25/19,12:30,10/25/19 12:30:00,9,9,1,36.5,0,9,0,3,
10/25/19,12:30,10/25/19 12:30:00,9,18,1,22,0,5,0,3,
10/25/19,12:30,10/25/19 12:30:00,9,26,1,24,0,7,0,3,
10/25/19,12:30,10/25/19 12:30:00,9,30,0,10,0,1,1,1,30_G2 lost eggs
10/25/19,12:30,10/25/19 12:30:00,9,41,1,25,0,7,0,3,Last 2 alive look bad
10/25/19,12:30,10/25/19 12:30:00,9,42,1,24,0,4,0,2,
10/25/19,12:30,10/25/19 12:30:00,9,44,0,10,0,0,0,0,44_M3 not swimming 
10/25/19,12:30,10/25/19 12:30:00,9,50,1,23,1,6,0,2,50_F3 dead
10/25/19,16:30,10/25/19 16:30:00,10,9,1,36.5,0,9,0,3,
10/25/19,16:30,10/25/19 16:30:00,10,18,1,22,0,5,0,3,
10/25/19,16:30,10/25/19 16:30:00,10,26,1,24,0,7,0,3,
10/25/19,16:30,10/25/19 16:30:00,10,30,0,10.5,0,1,0,1,
10/25/19,16:30,10/25/19 16:30:00,10,41,1,25.5,1,8,0,3,41_M1
10/25/19,16:30,10/25/19 16:30:00,10,42,1,23,1,5,0,2,42_F3
10/25/19,16:30,10/25/19 16:30:00,10,44,0,10.5,0,0,0,0,
10/25/19,16:30,10/25/19 16:30:00,10,50,1,24,3,9,0,2,"50_M1, 41_G1 and 41_F1"
10/26/19,14:30,10/26/19 14:30:00,11,9,1,36.5,0,9,0,3,
10/26/19,14:30,10/26/19 14:30:00,11,18,1,22.5,2,7,0,3,"18_G1, 18_G2"
10/26/19,14:30,10/26/19 14:30:00,11,26,1,24,0,7,0,3,
10/26/19,14:30,10/26/19 14:30:00,11,30,0,10.5,0,1,0,1,
10/26/19,14:30,10/26/19 14:30:00,11,41,1,24,0,8,0,3,
10/26/19,14:30,10/26/19 14:30:00,11,42,1,24,0,5,0,2,
10/26/19,14:30,10/26/19 14:30:00,11,44,0,10.5,1,1,0,0,44_M3 
10/26/19,14:30,10/26/19 14:30:00,11,50,1,24,0,9,0,2,
10/28/19,10:30,10/28/19 10:30:00,12,9,1,36.5,0,9,0,3,
10/28/19,10:30,10/28/19 10:30:00,12,18,1,22,1,8,0,3,18_G3
10/28/19,10:30,10/28/19 10:30:00,12,26,1,24,2,9,0,3,26_G1 and 26_F1
10/28/19,10:30,10/28/19 10:30:00,12,30,0,11,1,2,0,1,30_F1
10/28/19,10:30,10/28/19 10:30:00,12,41,1,24,1,9,0,3,41_G1
10/28/19,10:30,10/28/19 10:30:00,12,42,1,23,3,8,1,3,"42_G2, 42_G3, and 42_M3"
10/28/19,10:30,10/28/19 10:30:00,12,44,0,11,1,2,0,0,44_F1
10/28/19,10:30,10/28/19 10:30:00,12,50,1,24,0,9,0,2,
10/28/19,15:30,10/28/19 15:30:00,13,9,1,36.5,0,9,0,3,
10/28/19,15:30,10/28/19 15:30:00,13,18,1,22,1,9,0,3,18_F2
10/28/19,15:30,10/28/19 15:30:00,13,26,1,24,0,9,0,3,
10/28/19,15:30,10/28/19 15:30:00,13,30,0,11,0,2,0,1,
10/28/19,15:30,10/28/19 15:30:00,13,41,1,24,0,9,0,3,
10/28/19,15:30,10/28/19 15:30:00,13,42,1,25,1,9,0,3,
10/28/19,15:30,10/28/19 15:30:00,13,44,0,11,0,2,0,0,44_M2
10/28/19,15:30,10/28/19 15:30:00,13,50,1,24,0,9,0,2,
