Individual ,total_dead,number_dead,observation number,Sex,Size_SU,Size_mm,Egg attatched,Egg count,Notes
I9_F1,9,1,2,F,48,1.92,0,0,
I9_F2,9,1,2,F,45,1.8,0,0,
I9_F3,9,1,2,F,46,1.84,0,0,
I9_G1,9,1,2,G,49.5,1.98,0,30,
I9_G2,9,1,2,G,50,2,0,28,
I9_G3,9,1,2,G,46,1.84,0,NA,Egg sack not accounted for
I9_M1,9,1,2,M,43,1.72,NA,NA,
I9_M2,9,1,2,M,46,1.84,NA,NA,
I9_M3,9,1,2,M,44,1.76,NA,NA,
I18_F1,25,1,4,F,46,1.84,0,0,
I18_F3,25,1,4,F,53.5,2.14,0,0,
I26_F2,25,1,4,F,56,2.24,0,0,
I41_F1,25,1,4,F,44,1.76,0,0,
I41_F2,25,1,4,F,53,2.12,0,0,
I42_F1,25,1,4,F,59,2.36,0,0,
I42_F2,25,1,4,F,47,1.88,0,0,Blue tinted feeding appendages
I42_G1,25,1,4,G,53,2.12,1,16,
I42_G3,25,1,4,G,53,2.12,0,NA,Egg sack not accounted for
I18_M1,25,1,4,M,44.5,1.78,NA,NA,
I26_M1,25,1,4,M,45,1.8,NA,NA,
I26_M2,25,1,4,M,45.5,1.82,NA,NA,
I41_M2,25,1,4,M,42,1.68,NA,NA,
I41_M3,25,1,4,M,47.5,1.9,NA,NA,
I50_M2,25,1,4,M,44,1.76,NA,NA,
I50_M3,25,1,4,M,42,1.68,NA,NA,
I26_G3,27,1,5,G,51,2.04,1,18,
I50_G3,27,1,5,G,46.5,1.86,0,NA,Egg sack not accounted for
I26_F3,30,1,7,F,52,2.08,0,0,
I26_G2,30,1,7,G,48,1.92,0,NA,Egg sack not accounted for
I41_G2,30,1,7,G,56,2.24,0,NA,Egg sack not accounted for
I41_F3,38,1,8,F,51,2.04,0,0,
I50_F2,38,1,8,F,47,1.88,0,0,
I50_G2,38,1,8,G,48,1.92,0,18,
I18_M2,38,1,8,M,45.5,1.82,NA,NA,
I18_M3,38,1,8,M,44,1.76,NA,NA,
I26_M3,38,1,8,M,44.5,1.78,NA,NA,
I30_M3,38,1,8,M,46,1.84,NA,NA,First control to die 
I42_M1,38,1,8,M,46,1.84,NA,NA,
I50_F3,39,1,9,F,51,2.04,0,0,
I42_F3,44,1,10,F,48,1.92,0,0,
I50_F1,44,1,10,F,48,1.92,0,0,
I50_G1,44,1,10,G,49,1.96,1,22,
I41_M1,44,1,10,M,44,1.76,NA,NA,
I50_M1,44,1,10,M,48,1.92,NA,NA,
I18_G1,47,1,11,G,49.5,1.98,0,24,
I18_G2,47,1,11,G,48,1.92,0,30,
I44_M3,47,1,11,M,43,1.72,NA,NA,
I26_F1,56,1,12,F,52,2.08,0,0,
I30_F1,56,1,12,F,47,1.88,0,0,
I44_F1,56,1,12,F,51,2.04,0,0,
I18_G3,56,1,12,G,53,2.12,0,22,
I26_G1,56,1,12,G,49,1.96,0,18,
I41_G1,56,1,12,G,53,2.12,0,NA,egg sack damaged
I42_G2,56,1,12,G,51,2.04,0,20,
I42_G3,56,1,12,G,49,1.96,0,24,
I42_M2,56,1,12,M,47.5,1.9,NA,NA,
I18_F2,58,1,13,F,44,1.76,0,0,
I42_M3,58,1,13,M,44,1.76,NA,NA,
I30_F3,59,1,15,F,44,1.76,0,0,
