observation number,timestamp,F_dead,G_dead,M_dead,T_Dead,per.Fdead,F_deadT_jitter,F_deadT,per.Gdead,G_deadT_jitter,per.Mdead,G_deadT,M_deadT
0,10/23/19 11:30,0,0,0,0,0,0,0,0,0,0,0,0
1,10/23/19 12:30,0,0,0,0,0,0,0,0,0,0,0,0
2,10/23/19 14:40,3,3,3,9,0.177777778,3.2,3,0.155555556,2.8,0.166666667,3,3
3,10/23/19 17:00,0,0,0,9,0.177777778,3.2,3,0.155555556,2.8,0.166666667,3,3
4,10/24/19 9:00,7,2,7,25,0.566666667,10.2,10,0.266666667,4.8,0.555555556,5,10
5,10/24/19 11:40,0,2,0,27,0.566666667,10.2,10,0.377777778,6.8,0.555555556,7,10
6,10/24/19 13:00,0,0,0,27,0.566666667,10.2,10,0.377777778,6.8,0.555555556,7,10
7,10/24/19 16:30,1,2,0,30,0.622222222,11.2,11,0.488888889,8.8,0.555555556,9,10
8,10/25/19 9:00,2,1,4,37,0.733333333,13.2,13,0.544444444,9.8,0.777777778,10,14
9,10/25/19 12:30,1,0,0,38,0.788888889,14.2,14,0.544444444,9.8,0.777777778,10,14
10,10/25/19 16:30,2,1,2,43,0.9,16.2,16,0.6,10.8,0.888888889,11,16
11,10/26/19 14:30,0,2,0,45,0.9,16.2,16,0.711111111,12.8,0.888888889,13,16
12,10/28/19 10:30,1,5,1,52,0.955555556,17.2,17,0.988888889,17.8,0.944444444,18,17
13,10/28/19 15:30,1,0,1,54,1.011111111,18.2,18,0.988888889,17.8,1,18,18
14,10/29/19 12:00,0,0,0,54,1.011111111,18.2,18,0.988888889,17.8,1,18,18
